"","s.BP","s.VM","index","stat","p.value"
"Otu625_NA",1,0,1,0.486411560921524,1e-04
"Otu63_NA",1,0,1,0.126158948847801,0.4889
"Otu631_NA",0,1,2,0.460724733309655,1e-04
"Otu632_NA",0,1,2,0.464936075684088,1e-04
"Otu635_Arthropoda",0,1,2,0.0357016385643037,0.8301
"Otu637_Eukaryota",0,1,2,0.0898257304661681,0.507
"Otu639_Arthropoda",0,1,2,0.117505619787361,0.9295
"Otu64_Gastropoda",1,0,1,0.107383855619163,0.884
"Otu640_Eukaryota",0,1,2,0.425106685302083,4e-04
"Otu641_Eukaryota",1,0,1,0.0604259629380824,0.6732
"Otu643_Pontellina",1,0,1,0.13256817901138,2e-04
"Otu644_NA",0,1,2,0.351258027689554,0.0044
"Otu645_Cnidaria",1,0,1,0.488615272006718,1e-04
"Otu646_Eukaryota",1,0,1,0.116519130678678,0.3712
"Otu648_NA",0,1,2,0.020182923769279,0.8958
"Otu65_Arthropoda",0,1,2,0.181922331545041,0.0162
"Otu650_Eukaryota",1,0,1,0.463639199124434,4e-04
"Otu652_Eukaryota",0,1,2,0.412349222113591,4e-04
"Otu654_Cnidaria",1,0,1,0.121662360301424,0.4351
"Otu656_Mollusca",1,0,1,0.47369762966832,1e-04
"Otu657_Arthropoda",1,0,1,0.455796062642304,2e-04
"Otu662_Eukaryota",1,0,1,0.126477946014835,0.4168
"Otu663_Eukaryota",1,0,1,0.121210730312048,0.423
"Otu665_NA",1,0,1,0.479229497931825,2e-04
"Otu669_Demospongiae",1,0,1,0.426045941475874,1e-04
"Otu67_Leptochela",1,0,1,0.129841949919976,0.5982
"Otu672_NA",0,1,2,0.436745006786107,8e-04
"Otu675_Polychaeta",1,0,1,0.132788688972822,4e-04
"Otu677_Hydrozoa",0,1,2,0.467252054311198,3e-04
"Otu679_Demospongiae",1,0,1,0.0351536939693728,0.8276
"Otu680_Demospongiae",0,1,2,0.133304658412684,0.4842
"Otu681_NA",0,1,2,0.44018232933567,5e-04
"Otu682_Hydrozoa",1,0,1,0.414927458104897,0.0012
"Otu685_NA",1,0,1,0.434627486279911,4e-04
"Otu686_Eukaryota",1,0,1,0.177662606497507,0.1965
"Otu687_Cnidaria",0,1,2,0.313873181656539,0.0123
"Otu693_Arthropoda",1,0,1,0.664777696162414,1e-04
"Otu694_Eukaryota",0,1,2,0.473302115943794,1e-04
"Otu695_Cnidaria",1,0,1,0.1502325244725,0.3705
"Otu697_Demospongiae",1,0,1,0.277576783968285,0.0373
"Otu698_Arthropoda",1,0,1,0.381196328601711,5e-04
"Otu699_Hydrozoa",1,0,1,0.445711332053715,3e-04
"Otu701_Eukaryota",1,0,1,0.427609336753224,2e-04
"Otu702_NA",0,1,2,0.452173602217943,3e-04
"Otu703_Arthropoda",1,0,1,0.406678827449158,4e-04
"Otu704_Eukaryota",0,1,2,0.320684986229591,0.0146
"Otu705_Eukaryota",0,1,2,0.392056707988699,3e-04
"Otu708_Eukaryota",0,1,2,0.439892247207195,3e-04
"Otu71_Hydrozoa",0,1,2,0.143410816978627,0.002
"Otu710_Polychaeta",0,1,2,0.129988404641507,0.7199
"Otu711_Eukaryota",1,0,1,0.479564424145488,1e-04
"Otu712_Gastropoda",1,0,1,0.380353493797043,0.002
"Otu716_NA",0,1,2,0.318509144721045,0.0128
"Otu718_Eukaryota",1,0,1,0.500082665124149,1e-04
"Otu719_Chordata",1,0,1,0.360872976131206,0.0042
"Otu720_NA",1,0,1,0.488829179403616,1e-04
"Otu727_Chordata",1,0,1,0.575808463143136,1e-04
"Otu729_Eukaryota",1,0,1,0.428290630966053,5e-04
"Otu732_Annelida",1,0,1,0.359955700485896,0.005
"Otu733_NA",0,1,2,0.515731520907695,1e-04
"Otu734_NA",0,1,2,0.0293960029092073,0.8627
"Otu735_Gastropoda",0,1,2,0.277757014113923,0.0305
"Otu736_Eukaryota",0,1,2,0.435379289499786,3e-04
"Otu738_NA",1,0,1,0.236311999711026,0.0845
"Otu739_Eukaryota",1,0,1,0.411509671638944,5e-04
"Otu74_Calocalanus",1,0,1,0.172637977877032,0.2405
"Otu740_Cnidaria",1,0,1,0.320081279656205,0.0054
"Otu741_Arthropoda",1,0,1,0.130188910980824,1
"Otu743_Arthropoda",0,1,2,0.327117143243,0.0105
"Otu744_NA",1,0,1,0.470149872433105,1e-04
"Otu746_Eukaryota",1,0,1,0.221867086919665,0.0817
"Otu748_NA",1,0,1,0.137339031267076,0.4965
"Otu749_Arthropoda",0,1,2,0.122144239374775,0.9697
"Otu751_Arthropoda",1,0,1,0.189055188538408,0.2208
"Otu752_Poecilosclerida",1,0,1,0.176480847984648,0.2806
"Otu754_NA",1,0,1,0.332830045393704,0.0067
"Otu755_NA",1,0,1,0.17852134032406,0.3636
"Otu757_Eukaryota",0,1,2,0.130188910980824,1
"Otu759_NA",0,1,2,0.446288005831283,3e-04
"Otu761_Eukaryota",0,1,2,0.00927717233318961,1
"Otu762_Eukaryota",0,1,2,0.190886557924666,0.0183
"Otu766_NA",0,1,2,0.485286256741961,1e-04
"Otu768_Arthropoda",1,0,1,0.104854021230638,0.4895
"Otu769_NA",0,1,2,0.0792913073519774,0.5955
"Otu77_Calocalanus",1,0,1,0.119495668503751,0.486
"Otu770_Arthropoda",0,1,2,0.432114176958597,2e-04
"Otu775_NA",1,0,1,0.126475297982452,0.4284
"Otu777_Cnidaria",1,0,1,0.0800640769025436,0.581
"Otu779_Eukaryota",0,1,2,0.420306667959126,6e-04
"Otu78_Arthropoda",0,1,2,0.0325944447649211,0.7526
"Otu780_Arthropoda",0,1,2,0.375783019848431,0.0023
"Otu781_NA",1,0,1,0.0621744966666995,0.6857
"Otu783_Arthropoda",1,0,1,0.373360362156795,7e-04
"Otu784_NA",1,0,1,0.129622825888967,0.3689
"Otu785_NA",0,1,2,0.45103667488207,1e-04
"Otu787_Arthropoda",0,1,2,0.460722030616139,3e-04
"Otu788_Hexanauplia",1,0,1,0.172931138612101,0.2365
"Otu790_NA",1,0,1,0.170705133004174,0.2139
"Otu791_NA",0,1,2,0.092903947430545,0.5391
"Otu792_NA",0,1,2,0.0407720106519701,0.7729
